arf5	ENST00000000233
Hs3st1	ENST00000002596
NIPAL3	ENST00000003912
ush1c	ENST00000005226
copz2	ENST00000006101
C1orf124	ENST00000008440
Dyrk4	ENST00000010132
mgst1	ENST00000010404
SEMA3B	ENST00000013808
CCT8L1	ENST00000021776
c20orf43	ENST00000023939
BCLAF1	ENST00000031135
lrrc7	ENST00000035383
BEST2	ENST00000042931
lcp2	ENST00000046794
mrps10	ENST00000053468
RFC2	ENST00000055077
SIKE1	ENST00000060969
RELT	ENST00000064780
YIPF1	ENST00000072644
SLC2A3	ENST00000075120
ACTL6B	ENST00000160382
LOC646079	ENST00000162330
Bcl3	ENST00000164227
PIGB	ENST00000164305
Rgs11	ENST00000168869
mkrn2	ENST00000170447
GPATCH1	ENST00000170564
NTN1	ENST00000173229
ISOC1	ENST00000173527
LAPTM4A	ENST00000175091
Adam7	ENST00000175238
tbx21	ENST00000177694
Map2k5	ENST00000178640
FGF20	ENST00000180166
MTMR7	ENST00000180173
LOC402175	ENST00000184266
RAGE	ENST00000193029
NAIP	ENST00000194097
PCDHB2	ENST00000194155
hspb11	ENST00000194214
Cobll1	ENST00000194871
C4orf6	ENST00000195455
GSTP1	ENST00000196968
Eif2ak1	ENST00000199389
OAS1	ENST00000202917
GLG1	ENST00000205061
Apoh	ENST00000205948
tbx15	ENST00000207157
MICAL3	ENST00000207726
adh7	ENST00000209665
PSMD5	ENST00000210313
NANS	ENST00000210444
CRISP2	ENST00000211238
CATSPERG	ENST00000215069
efna2	ENST00000215368
Atp5d	ENST00000215375
Polrmt	ENST00000215591
Lztr1	ENST00000215739
MAPK1	ENST00000215832
ASPHD2	ENST00000215906
cenpm	ENST00000215980
KDELR3	ENST00000216014
CBY1	ENST00000216029
JOSD1	ENST00000216039
miox	ENST00000216075
RASL10A	ENST00000216101
hmox1	ENST00000216117
arsA	ENST00000216124
CBX7	ENST00000216133
pnpla3	ENST00000216180
L3mbtl2	ENST00000216237
POLR3H	ENST00000216255
CERK	ENST00000216264
Hdac10	ENST00000216271
CCNK	ENST00000216279
NID2	ENST00000216286
Coch	ENST00000216361
POLE2	ENST00000216367
cgrrf1	ENST00000216420
C14orf105	ENST00000216445
ALKBH1	ENST00000216489
ERH	ENST00000216520
EIF5	ENST00000216554
SLC8A3	ENST00000216568
VRK1	ENST00000216639
pabpn1	ENST00000216727
PABPC1L	ENST00000217074
TPD52L2	ENST00000217121
PTK6	ENST00000217185
FERMT1	ENST00000217289
SLC32A1	ENST00000217420
PIGU	ENST00000217446
Slc25a43	ENST00000217909
MXRA5	ENST00000217939
Renbp	ENST00000218151
MAP7D3	ENST00000218318
PHF16	ENST00000218343
Atp12a	ENST00000218548
Snx29	ENST00000219090
NUTF2	ENST00000219169
cbln1	ENST00000219197
PLLP	ENST00000219207
ndrg4	ENST00000219312
mpg	ENST00000219431
ZNF500	ENST00000219478
GSPT1	ENST00000219627
Hmox2	ENST00000219700
RRN3P3	ENST00000219758
MGA	ENST00000219905
Sfrp1	ENST00000220772
LOC730429	ENST00000220959
DCTN6	ENST00000221114
TNFRSF10A	ENST00000221132
NEFL	ENST00000221169
LOC647013	ENST00000221200
FGL1	ENST00000221204
paf1	ENST00000221266
ZNF302	ENST00000221282
aes	ENST00000221561
PEG3	ENST00000221722
TBCB	ENST00000221855
ARHGAP33	ENST00000221905
CCDC9	ENST00000221922
LIM2	ENST00000221973
Znrf4	ENST00000222033
dbp	ENST00000222122
EPOR	ENST00000222139
gcdH	ENST00000222214
leng1	ENST00000222224
Slc5a5	ENST00000222248
PMS2L1	ENST00000222396
LOC100128542	ENST00000222547
ITGB8	ENST00000222573
CCL24	ENST00000222902
HNRNPA1P4	ENST00000222956
Spam1	ENST00000223028
ZNF862	ENST00000223210
Aebp1	ENST00000223357
bcl7b	ENST00000223368
Akna	ENST00000223791
KANK1	ENST00000223950
PITRM1	ENST00000224949
St6galnac2	ENST00000225276
SLC25A39	ENST00000225308
P2rx5	ENST00000225328
PSMB3	ENST00000225426
SUPT4H1	ENST00000225504
CBX1	ENST00000225603
SYNGR2	ENST00000225777
DDX5	ENST00000225792
Krt32	ENST00000225899
LRRC59	ENST00000225972
fam20a	ENST00000226094
Rangrf	ENST00000226105
Myh3	ENST00000226209
AFP	ENST00000226359
USP46	ENST00000226440
SMR3A	ENST00000226460
PF4V1	ENST00000226524
MAPK10	ENST00000226594
KLHL2	ENST00000226725
Gar1	ENST00000226796
frg1	ENST00000226798
Dbx1	ENST00000227256
ZNF259	ENST00000227322
TULP3	ENST00000228245
smarcd2	ENST00000228253
RPLP0P3	ENST00000228306
SLC25A3	ENST00000228318
NAV3	ENST00000228327
Rad52	ENST00000228345
Gpn3	ENST00000228827
CMAS	ENST00000229329
FAM184A	ENST00000229599
FAM65B	ENST00000229635
SLC44A4	ENST00000229729
OPRM1	ENST00000229768
MCM3	ENST00000229854
c6orf64	ENST00000229903
KIF6	ENST00000229913
RPS12P11	ENST00000230050
b3gat2	ENST00000230053
Zbtb24	ENST00000230122
HIST1H3J	ENST00000230495
HIST1H3F	ENST00000230495
HIST1H3D	ENST00000230495
HIST1H3C	ENST00000230495
HIST1H3B	ENST00000230495
ttk	ENST00000230510
LY86	ENST00000230568
Prss16	ENST00000230582
SKIV2L2	ENST00000230640
Isl1	ENST00000230658
lox	ENST00000231004
SPARC	ENST00000231061
actr8	ENST00000231909
HRG	ENST00000232003
Fam162a	ENST00000232125
ABTB1	ENST00000232744
EIF1B	ENST00000232905
NKTR	ENST00000232978
Cps1	ENST00000233072
TFPI	ENST00000233156
SF3B14	ENST00000233468
REEP6	ENST00000233596
NDUFS7	ENST00000233627
TLX2	ENST00000233638
IL1RL1	ENST00000233954
ID2	ENST00000234091
plekhb2	ENST00000234115
plek	ENST00000234313
CLCA1	ENST00000234701
KIAA1324	ENST00000234923
MIIP	ENST00000235332
RGS2	ENST00000235382
CD58	ENST00000235461
hmgcL	ENST00000235958
SELL	ENST00000236147
C1orf129	ENST00000236160
Vamp4	ENST00000236192
Syf2	ENST00000236273
DHDDS	ENST00000236342
CTSD	ENST00000236671
MMP8	ENST00000236826
SLC8A2	ENST00000236877
Mreg	ENST00000236976
SPACA1	ENST00000237201
ARMC2	ENST00000237512
Abcg2	ENST00000237612
ADH6	ENST00000237653
CPSF3	ENST00000238112
CCDC92	ENST00000238156
FKBP15	ENST00000238256
Gsc	ENST00000238558
ADCK1	ENST00000238561
MLH3	ENST00000238662
C14orf156	ENST00000238688
COQ6	ENST00000238709
Gna13	ENST00000239138
PANK3	ENST00000239231
PCDHB12	ENST00000239450
SLC25A2	ENST00000239451
TNFSF18	ENST00000239468
C11orf61	ENST00000239614
Egr1	ENST00000239938
NFYB	ENST00000240055
PPP3CC	ENST00000240139
RDH10	ENST00000240285
Tex14	ENST00000240361
TAS2R9	ENST00000240691
GJA8	ENST00000240986
MAPK8IP1	ENST00000241014
GJA3	ENST00000241125
GHSR	ENST00000241256
TNFSF10	ENST00000241261
CXCR4	ENST00000241393
Ocm	ENST00000242104
KIAA0087	ENST00000242109
WIPF3	ENST00000242140
NPY	ENST00000242152
KIAA1045	ENST00000242315
Dcaf10	ENST00000242323
hvcn1	ENST00000242607
STX10	ENST00000242770
ebpl	ENST00000242827
Hoxc6	ENST00000243108
STIL	ENST00000243182
SEC61A1	ENST00000243253
MAGEA9	ENST00000243314
SLC36A1	ENST00000243389
FAM124B	ENST00000243806
CTCFL	ENST00000243914
PLCG1	ENST00000244007
PPP4R1L	ENST00000244064
nagK	ENST00000244204
IL17C	ENST00000244241
ZNF234	ENST00000244316
Btn3a3	ENST00000244519
Snrpc	ENST00000244520
ABCC10	ENST00000244533
C6orf130	ENST00000244558
HIST2H3D	ENST00000244661
HIST1H3B	ENST00000244661
NRN1	ENST00000244766
MUTED	ENST00000244777
C6orf138	ENST00000244795
Scgb2a1	ENST00000244930
MT2A	ENST00000245185
RAP2A	ENST00000245304
SLC10A2	ENST00000245312
EFNB2	ENST00000245323
atp5s	ENST00000245448
RPS29P11	ENST00000245458
Ttf1	ENST00000245588
Psd4	ENST00000245796
SNRPB2	ENST00000246071
c1orf128	ENST00000246151
ARMCX5	ENST00000246174
LRFN3	ENST00000246529
HTN1	ENST00000246896
GDF1	ENST00000247005
SLC35A2	ENST00000247138
KIAA0831	ENST00000247178
Ctag2	ENST00000247306
traF2	ENST00000247668
Eps15l1	ENST00000248070
OR7C2	ENST00000248072
GNG13	ENST00000248150
MON1B	ENST00000248248
PNKD	ENST00000248451
DGCR6L	ENST00000248879
KCTD17	ENST00000248903
GGTLC5P	ENST00000248923
GGTLC3	ENST00000248923
ggt2	ENST00000248923
gcat	ENST00000248924
SEZ6L	ENST00000248933
RFPL2	ENST00000248983
MCHR1	ENST00000249016
TST	ENST00000249042
GGTLC3	ENST00000249062
Apol2	ENST00000249066
PMPCB	ENST00000249269
LRRC4	ENST00000249363
MTX2	ENST00000249442
GDF2	ENST00000249598
ilf3	ENST00000250241
Klk9	ENST00000250366
DAD1	ENST00000250498
ASH2L	ENST00000250635
TTTY1B	ENST00000250776
CDY2A	ENST00000250838
Zc3h14	ENST00000251038
DHRS11	ENST00000251312
INTS2	ENST00000251334
LPPR2	ENST00000251473
KIF16B	ENST00000251847
TDRD1	ENST00000251864
MED17	ENST00000251871
TRPC4AP	ENST00000252015
PCDHGC5	ENST00000252087
MYH13	ENST00000252172
CNN1	ENST00000252456
Fam98c	ENST00000252530
CREB3L3	ENST00000252587
acsbg2	ENST00000252669
BMP15	ENST00000252677
actn4	ENST00000252699
EPO	ENST00000252723
Zswim6	ENST00000252744
ZNF747	ENST00000252799
Gdf15	ENST00000252809
OR11H12	ENST00000252835
OLFM1	ENST00000252854
SAG	ENST00000252857
TNNI2	ENST00000252898
gmfg	ENST00000253054
SESN2	ENST00000253063
GRWD1	ENST00000253237
Pkdrej	ENST00000253255
KIAA0182	ENST00000253458
IDO1	ENST00000253513
SH3BP5	ENST00000253688
CAPN7	ENST00000253693
PDLIM4	ENST00000253754
psmc3ip	ENST00000253789
DIAPH1	ENST00000253811
PCDHGC3	ENST00000253812
ube2d2	ENST00000253815
TTTY6B	ENST00000253838
FMO5	ENST00000254090
FSHB	ENST00000254122
LGALS3	ENST00000254301
PODNL1	ENST00000254320
zswim4	ENST00000254323
MATN3	ENST00000254354
lhx1	ENST00000254457
FXC1	ENST00000254616
OC90	ENST00000254627
PER2	ENST00000254657
Ran	ENST00000254675
Card6	ENST00000254691
RAP1GAP2	ENST00000254695
COQ3	ENST00000254759
WBP2	ENST00000254806
NIP7	ENST00000254941
VAC14	ENST00000254957
Hspa12b	ENST00000254963
RHBG	ENST00000255013
Apcs	ENST00000255040
Acy3	ENST00000255082
PABPC1L	ENST00000255136
RFXAP	ENST00000255476
PRAM1	ENST00000255612
ANKRD32	ENST00000255667
RTTN	ENST00000255674
LGALS12	ENST00000255684
MED10	ENST00000255764
MED6	ENST00000256379
Pebp4	ENST00000256404
KIAA0427	ENST00000256413
EDEM1	ENST00000256497
hbxip	ENST00000256644
FKBP11	ENST00000256680
CMPK2	ENST00000256722
Ano3	ENST00000256737
ern2	ENST00000256797
Nedd4l	ENST00000256830
emp1	ENST00000256951
FOLH1B	ENST00000257034
KLB	ENST00000257408
HNF1A	ENST00000257555
ASB4	ENST00000257621
PION	ENST00000257626
GTPBP10	ENST00000257659
LOC729316	ENST00000257665
MLL5	ENST00000257745
LMO2	ENST00000257818
AVIL	ENST00000257861
ITGA7	ENST00000257880
RDH5	ENST00000257895
KRT84	ENST00000257951
